LAT;;;;;40.7143
LON;;;;;-74.0060
ASL;;;;;10.0000
CITY;;;;;New York
DOMAIN;;;;;NEMSGLOBAL
LEVEL;;;;;2 m above gnd
NAME;;;;;Temperature
UNIT;;;;;°F
AGGREGATION;;;;;
UTC_OFFSET;;;;;-4

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd]
2019;03;11;06;00;34.62
2019;03;11;07;00;33.67
2019;03;11;08;00;31.56
2019;03;11;09;00;34.64
2019;03;11;10;00;37.11
2019;03;11;11;00;39.28
2019;03;11;12;00;41.16
2019;03;11;13;00;42.88
2019;03;11;14;00;44.22
2019;03;11;15;00;45.15
2019;03;11;16;00;45.55
2019;03;11;17;00;45.49
2019;03;11;18;00;44.45
2019;03;11;19;00;41.84
2019;03;11;20;00;39.93
2019;03;11;21;00;37.74
2019;03;11;22;00;35.45
2019;03;11;23;00;33.16
2019;03;12;00;00;31.98
2019;03;12;01;00;31.33
2019;03;12;02;00;31.06
2019;03;12;03;00;30.90
2019;03;12;04;00;30.54
2019;03;12;05;00;29.74
2019;03;12;06;00;28.74
2019;03;12;07;00;27.71
2019;03;12;08;00;28.75
2019;03;12;09;00;30.72
2019;03;12;10;00;32.35
2019;03;12;11;00;34.15
2019;03;12;12;00;35.74
2019;03;12;13;00;37.09
2019;03;12;14;00;38.33
2019;03;12;15;00;39.10
2019;03;12;16;00;39.19
2019;03;12;17;00;38.67
2019;03;12;18;00;37.75
2019;03;12;19;00;35.81
2019;03;12;20;00;34.28
2019;03;12;21;00;32.66
2019;03;12;22;00;31.94
2019;03;12;23;00;31.40
2019;03;13;00;00;30.93
2019;03;13;01;00;30.68
2019;03;13;02;00;30.45
2019;03;13;03;00;30.19
2019;03;13;04;00;29.92
2019;03;13;05;00;29.67
2019;03;13;06;00;29.46
2019;03;13;07;00;29.22
2019;03;13;08;00;31.58
2019;03;13;09;00;34.57
2019;03;13;10;00;36.93
2019;03;13;11;00;39.05
2019;03;13;12;00;40.89
2019;03;13;13;00;43.32
2019;03;13;14;00;45.33
2019;03;13;15;00;46.79
2019;03;13;16;00;47.42
2019;03;13;17;00;46.93
2019;03;13;18;00;45.80
2019;03;13;19;00;43.96
2019;03;13;20;00;42.54
2019;03;13;21;00;41.37
2019;03;13;22;00;40.67
2019;03;13;23;00;40.18
2019;03;14;00;00;39.95
2019;03;14;01;00;39.90
2019;03;14;02;00;40.02
2019;03;14;03;00;39.97
2019;03;14;04;00;39.90
2019;03;14;05;00;40.08
2019;03;14;06;00;40.36
2019;03;14;07;00;40.67
2019;03;14;08;00;37.38
2019;03;14;09;00;40.80
2019;03;14;10;00;44.54
2019;03;14;11;00;48.37
2019;03;14;12;00;51.74
2019;03;14;13;00;54.39
2019;03;14;14;00;56.35
2019;03;14;15;00;57.57
2019;03;14;16;00;57.55
2019;03;14;17;00;56.24
2019;03;14;18;00;54.46
2019;03;14;19;00;51.13
2019;03;14;20;00;48.91
2019;03;14;21;00;47.44
2019;03;14;22;00;46.70
2019;03;14;23;00;46.23
2019;03;15;00;00;46.00
2019;03;15;01;00;45.96
2019;03;15;02;00;45.78
2019;03;15;03;00;45.51
2019;03;15;04;00;45.39
2019;03;15;05;00;45.39
2019;03;15;06;00;45.39
2019;03;15;07;00;45.49
2019;03;15;08;00;46.75
2019;03;15;09;00;57.88
2019;03;15;10;00;60.43
2019;03;15;11;00;63.08
2019;03;15;12;00;65.20
2019;03;15;13;00;66.68
2019;03;15;14;00;67.44
2019;03;15;15;00;67.81
2019;03;15;16;00;67.78
2019;03;15;17;00;67.24
